date,section,uri,title,content
Date not found,Politics,https://trt.global/world/article/f851d46b9e8a,"US-India trade talks have hit a wall despite progress. What went wrong?Trump's 25% tariff strike on Indian goods with more penalties in the pipeline lands just as Indian PM Modi told Parliament that Trump had no hand in truce with Pakistan, undercutting US President's narrative.","The US-India trade deal is now on ice.

Hours after Indian Prime Minister Narendra Modi dismissed claims in the country’s Parliament that Washington played a role in the India-Pakistan ceasefire, US President Donald Trump announced a 25 percent tariff on Indian goods, with more penalties to come, this time linked to India's oil and defence trade with Russia.

""India is our friend,"" Trump wrote on Truth Social on Wednesday, before accusing the country of setting tariffs ""far too high"" and helping fuel Russia's war in Ukraine by continuing to buy oil and weapons from Moscow.

""Remember, while India is our friend... we have, over the years, done relatively little business with them because their tariffs are far too high, among the highest in the world. And they have the most strenuous and obnoxious non-monetary trade barriers of any country.""

The Indian government responded with a short statement saying it was reviewing the move.

But the timing of the announcement has raised questions in both capitals and among trade negotiators who had just completed their fifth round of talks aimed at wrapping up a deal by the end of the year.

New Delhi had framed those talks as constructive. Trump's tariff decision caught Indian officials off guard, according to people briefed on the matter.

India at a disadvantage?

The breakdown comes as political tensions between the two sides have quietly resurfaced.

Modi, during public remarks in recent days, has repeatedly said the ceasefire between New Delhi and Islamabad was brokered without help from the United States, a statement that directly contradicts accounts from Trump.

Following the brief conflict between India and Pakistan in May, which the US stated threatened to escalate into a nuclear exchange, Trump and his administration have claimed nearly 30 times that the US brokered the ceasefire.

Islamabad has acknowledged the US's role and even nominated Trump for the Nobel Peace Prize, but New Delhi denies it, with Modi telling Indian Parliament, ""No world leader asked us to stop the operation.""

Trade had long been seen as a stabilising pillar in the US-India relationship. But fault lines remain. Washington wants full market access for American agricultural and technology exports. India has pushed back, citing domestic industries, especially dairy and farming.

India is currently one of America's largest trading partners but the trade imbalance stands at nearly $46 billion, in India's favour. That figure, along with India's deepening ties with Russia, and Modi's refusal to accept US role in truce with Pakistan appears to have made New Delhi a target in Trump's wider tariff strategy, which also includes new duties on Brazil.

The tariff escalation puts India at a disadvantage compared to countries like Vietnam and Bangladesh, where exporters already benefit from lower costs and fewer restrictions.

Indian trade bodies warned that demand for Indian goods could dip sharply unless clarity on the penalties emerges soon.

US, Pakistan strike 'massive oil reserves' deal

India's main opposition party, Congress, blasted Modi government over the tariff announcement by the US. In a post on X, the Congress party wrote, ""Trump slapped a 25% tariff on India, along with a penalty. The country is now bearing the cost of Narendra Modi's 'friendship'. Modi campaigned for Trump, hugged him eagerly, posed for photos, and made it trend on social media. In the end, Trump still imposed tariffs on India. India's foreign policy has completely failed.""

Despite months of rhetoric about deepening economic ties and shared Asia-Pacific goals, the US and India are now drifting on key fronts — energy, defence, sanctions, and now trade.After imposing tariffs on New Delhi, Trump announced that his administration has struck a trade deal with Pakistan as talks continue with other nations, ahead of his self-imposed August 1 deadline.

The US President added that an American company will develop Pakistan's (newly discovered) massive oil reserves.

""Maybe they'll be selling oil to India some day,"" Trump added.

Although trade negotiations between the US and India haven't formally ended, the latest move by Trump, layered with geopolitics and public messaging, has left both sides with less room to manoeuvre and more distance than either expected."
Date not found,Politics,https://trt.global/world/article/cda5cef6f31f,"Trump pushes for release of Epstein, Maxwell grand jury testimony as Democrats invoke 'rule of five'","Donald Trump's administration, seeking to ease an uproar plaguing his presidency, has urged two judges to release testimony to a grand jury that indicted Jeffrey Epstein and Ghislaine Maxwell on sex trafficking charges.

In late-night court filings on Tuesday, US federal prosecutors said unsealing the materials would be appropriate given the ""abundant public interest"" in the case of Epstein, the late financier, and Maxwell, an imprisoned British socialite.

The Republican Trump had promised to make public Epstein-related files if reelected and accused Democrats of covering up the truth. But this month the Department of Justice said a previously touted Epstein client list did not in fact exist, angering Trump's supporters.

DOJ first sought court permission on July 18 to make public transcripts of the confidential testimony given by witnesses years ago in the two cases, but Manhattan-based District Judges Richard Berman and Paul Engelmayer asked the government to flesh out the legal bases for the requests.

Trump has faced pressure to make public documents from the federal investigations into Epstein, who killed himself in 2019 while awaiting trial on sex trafficking charges, and his longtime girlfriend Maxwell, who was convicted of sex trafficking in 2021.

Even if one or both of the judges allow the transcripts to be made public, it is not clear whether the public would learn anything new or noteworthy.

In the filings, prosecutors said the only witness at Epstein's grand jury was an FBI agent. That same agent and a New York City Police Department detective were the only witnesses at Maxwell's grand jury, prosecutors said.

Maxwell's four-week trial in 2021 included public testimony from alleged sex trafficking victims, associates of Epstein and Maxwell, and law enforcement officers.

She is now serving a 20-year prison sentence in Florida and is asking the US Supreme Court to overturn her conviction. She had pleaded not guilty.

The unsealing requests came after Trump earlier this month asked Attorney General Pam Bondi to seek the release of grand jury transcripts. The president did so after the Justice Department said it concluded that Epstein died by suicide and that there was no incriminating list of his clients.

The Justice Department's announcement angered some of Trump's conservative supporters who believe the government is covering up Epstein's ties to the rich and powerful and that the financier was murdered in jail.

Grand juries are convened by prosecutors and meet in secret to hear witness testimony and decide whether to indict people suspected of crimes. Records of their proceedings usually remain sealed. There are only limited circumstances under which such transcripts can be disclosed.

The transcripts would not represent all previously unreleased material in the government's possession.

Investigators and prosecutors may pursue leads that they cannot substantiate or interview potential witnesses whom they do not ultimately call to testify before a grand jury.

US District Judge Robin Rosenberg in Florida last week denied the administration's request to unseal records from grand jury probes in 2005 and 2007 in that state into Epstein. The judge said the request did not fall into any of the limited exceptions that may allow for the release of such material.

Epstein pleaded guilty in 2008 to a prostitution charge brought under Florida law and was given a 13-month sentence in a deal with prosecutors now widely regarded as too lenient.

Deputy US Attorney General Todd Blanche, Trump's former personal lawyer, last week met with Maxwell to see if she had any information about others who had committed crimes.

Maxwell's lawyer David Markus and Blanche have not provided detailed accounts of their discussions.

Democrats use 'rule of five'

Meanwhile, Democrats moved on Wednesday to force Trump to release files from the investigation into Epstein, invoking an obscure law to keep up the pressure on an issue that has roiled the US president's administration.

Senate Minority Leader Chuck Schumer and the Democrats on the Homeland Security and Governmental Affairs Committee wrote to the Justice Department asking for the materials under a section of federal law known as the ""rule of five.""

The measure — introduced a century ago but rarely used — requires government departments to provide relevant information if any five members of the Senate's chief watchdog panel request it.

It is not clear if it could be enforced in court but even if the effort fails it keeps the spotlight on an issue that has upended Trump's summer, dividing Republicans and leading to the early closure of the House of Representatives.

Democrats in Congress — with limited Republican support — have been seeking a floor vote to force the release of Epstein files.

House Oversight Committee Democrats, backed by some Republicans, approved a subpoena last week for the Justice Department to hand over the documents, although the demand has yet to be sent."
Date not found,Politics,https://trt.global/world/article/3007b0ea4c90,Can Apple’s $500M rare earth deal help the US shake off its dependence on China?,"Apple has signed a $500 million agreement with MP Materials for rare earth magnets, aiming to mitigate supply risks following China’s export restrictions earlier this year.

The company last week secured backing from the Pentagon – the US Department of Defense – which will become its largest shareholder.

The deal marks a significant victory for MP Materials, the only American rare earths mine operator, whose shares jumped by 20 percent as a result.

Earlier this year, US President Donald Trump invoked emergency powers to boost domestic production of critical minerals, aiming to counterbalance China’s overwhelming dominance in the industry.

“Rare earth materials are essential for making advanced technology, and this partnership will help strengthen the supply of these vital materials here in the United States,” Apple CEO Tim Cook said this month.

“We couldn’t be more excited about the future of American manufacturing, and we will continue to invest in the ingenuity, creativity, and innovative spirit of the American people.”

But even with this high-profile deal, China still processes nearly 90 percent of the world’s rare earths, and about two-thirds of American-mined minerals are shipped to China for refining before they can be used in products like Apple’s.

China’s control over the sector extends directly to MP Materials through Shenghe Resources, which has held roughly an eight percent stake in the company. For years, MP had been sending the majority of its ore to China for processing.

Now, the US Department of Defense has an effective 15 percent stake in MP by purchasing half a billion dollars in preferred stock along with warrants.

The company has pledged it will no longer send any material to China for processing.

“We're getting an important national security need met, but we're maintaining our free market public company approach,” MP's CEO James Litinsky told an investor call.

The deal marks a significant step toward reshoring critical processing capabilities, but it also raises a broader question about whether such efforts can truly shift the balance.

A long road to independence

While American officials and industry leaders are keen to celebrate the latest MP Materials deal as a turning point, experts caution that it is only one step on a much longer journey.

China’s overwhelming dominance in rare earth processing and refining means the US still faces enormous structural obstacles.

According to Jack Lifton, Senior Fellow at the Institute for the Analysis of Global Security, the fundamental landscape has shifted beyond what most Western policymakers anticipated.

“What’s changed is the advent of truly global competition,” Lifton tells TRT World. “Americans and Europeans are very, very late—too late—to this game.”

Now it is not just a matter of catching up in mining or extraction.

As outlined in reports from the Hinrich Foundation, even if American mining output increases, most of those minerals still end up in Chinese refineries before they can reach US factories.

Steve Christensen, executive director of the Responsible Battery Coalition, welcomes the new investments, but recognises the limitations.

“Expanding extraction is great, and we need more of it and investments along the value chain,” said Christensen, executive director of the Responsible Battery Coalition, an association representing battery makers, automakers and battery sellers.

“The metals produced from MP will lessen our dependence on China”.

Yet, the challenges go well beyond the supply chain.

Lifton points out that now countries in the Middle East, South America, and Africa are increasingly determined to keep more of the economic benefits from their own mineral resources, rather than settling for quick profits.

In other words, the global landscape for critical minerals is evolving quickly, with China prepared to offer its processing technology in exchange for continued influence.

“American and European companies cannot compete at this level,” Lifton says.

Policy changes in Washington have tried to address some of these gaps.

President Trump’s emergency orders and the Ocean Shipping Reform Act are attempts to make American supply chains more resilient.

However, reports reveal that regulatory and environmental struggles mean that even approved mining projects in the US can take decades to come into effect.

""The US has the second-longest lead time globally (29 years) from discovery to production,” the S&P Global report writes.

Most evidence suggests that even with more investment, American efforts will take years—if not decades—to match the scale and sophistication of China’s network.

As the experts discuss, success will require a coordinated approach, long-term investment, and a willingness to work alongside partners in the Global South, rather than relying solely on domestic solutions."
Date not found,Politics,https://trt.global/world/article/9d5441245245,UK court allows Palestine Action to challenge government ban,"A legal bid to challenge the government's decision to list Palestine Action as a terrorist group can go ahead, the UK High Court has ruled.

The High Court has granted permission to Huda Ammori, co-founder of Palestine Action, to bring a full judicial review against the order of Home Secretary Yvette Cooper, banning the group as a terrorist organisation.

In June, Cooper announced a ban under the Terrorism Act 2000 after activists spray-painted planes at a Royal Air Force base, an act being investigated under counter-terrorism laws.

Later, the ban was passed in the House of Commons and the House of Lords earlier this month.

During Wednesday's hearing, the court ruled that several of the grounds that Palestine Action presented to the court as to why the government's actions were unreasonable were upheld.

Justice Martin Chamberlain said he had decided that two parts of the arguments on Ammori's behalf were ""reasonably arguable.""

""The proscription order is likely to give rise to interference with rights guaranteed by common law and Articles 10 and 11 of the European Convention on Human Rights,"" he added.

Lawyers for Ammori previously told the High Court the decision was ""so extreme as to render the UK an international outlier.""

British lawmakers voted to list Palestine Action as a terrorist group, making it a criminal offence to be a member of the group or to invite or recklessly express support for it. One can be punished for up to 14 years in prison if they belong to or support the group.

In early July, a group of more than 400 cultural figures had urged the government to step back from its intention to ban Palestine Action and to ""stop arming Israel.""

Recently, the UN human rights chief, Volker Turk, raised serious concerns over the ban, warning it is a ""disturbing misuse"" of counter-terrorism laws and risks undermining fundamental freedoms."
Date not found,Politics,https://trt.global/world/article/ab3b547974fc,Temples or treason? Reasons that led to the Cambodia-Thailand flare-up,"A century-old border dispute between Thailand and Cambodia flared into deadly clashes last week, with rocket strikes, air raids, and landmines leaving civilians dead on both sides of the border, and thousands displaced.

Fighting peaked just before a ceasefire was brokered by Malaysia’s leader Anwar Ibrahim, requiring both sides to withdraw troops and accept international monitoring.

Many suspect that behind-the-scenes issues are fuelling the current dispute.

From a rift between Thailand’s and Cambodia’s ruling families, the Shinawatras and the Huns, to shifting dynamics in money laundering and scam operations along the border, are adding to the tensions, according to Patinya Ambuel, a Thai-American analyst.

Thaksin Shinawatra, former Prime Minister of Thailand and father of acting Prime Minister Paetongtarn Shinawatra (who was suspended after a leaked phone call with Cambodia’s former PM Hun Sen), has long maintained close ties with Hun Sen, whose son Hun Manet now leads Cambodia.

That friendship appears to have broken down recently, and that rupture is what experts cite as a major factor in the current flare-up.

Evidence of the fallout includes the leaked phone call between Hun Sen and Paetongtarn, in which she allegedly offered to act against a Thai military officer at the Cambodian leader’s request. Thaksin reportedly saw the leak as a betrayal. “I never imagined someone so close could act this way.” However, Hun Sen also feels betrayed by the former Thai leader.

While both sides accuse each other of betrayal, many in Thailand, including top officials, view Paetongtarn’s remarks as bordering on treason.

Thai court suspends PM Paetongtarn Shinawatra, centre, from duty pending case seeking her dismissal.

More factors seem to emerge as contributing to the conflict between two once-friendly neighbours.

Upsetting casinos, “scam centres”?

Among the potential sources of conflict is Thailand’s plan to open casinos and “entertainment centres” near the Cambodian border, something that may have angered Hun Sen, Ambuel says.

Currently, there are casinos just across the Thai border in Cambodia, frequented especially by Thais and Chinese. This would be a loss of revenue for Cambodia, as well as a loss of lucrative money laundering operations, she adds.

The issue of money always causes rifts in any conflict, according to her. Thailand’s proposal to open casino businesses might be angering Hun Sen, as shady financial activities from Thailand would no longer need to siphon through Cambodia’s casinos for laundering, not to mention the loss of huge casino earnings.

In addition, growing pressure on the Thai government to crack down on scam centres, an issue not just for Bangkok but the international community, may also be contributing to the feud, Ambuel adds.

In these scam centres, criminal gangs have trafficked hundreds of thousands of people and forced them to conduct online and telephone fraud, generating billions of dollars annually, according to the UN. In March, Thailand, a supplier of electricity and internet to some of these operations, led a crackdown on several centres.

People from 20 nations, reportedly rescued from alleged scam centres in Myanmar, reached Thailand's Tak province in February. (Photo/Royal Thai Army)

Rising nationalist sentiment on both sides may also be inflaming tensions.

Ambuel refers to the possibility that Hun Sen may be trying to drum up some nationalist sentiment to help quash any potential opposition to his son’s government and Thai army’s likely eagerness to play up nationalism to run down calls for a military reform.

While Thais have their own corrupt leadership, according to some rumours, the unpopular Prime Minister of Cambodia, Hun Manet “created a situation to distract the country from his socio-economic failure,” says Ambuel.

While some Western media coverage links the conflict to US-China rivalry, the roots of the Cambodia-Thailand dispute go back to the Franco-Siamese treaties of 1904 and 1907, which defined the boundary between then-Siam and French Indochina, according to Dan Steinbock, a leading economist and political analyst on China and South Asian politics.

Siam refers to modern-day Thailand, while French Indochina encompassed present-day Vietnam, Laos, and Cambodia.

Like many of the world’s international borders, the Thai-Cambodian boundary was drawn by colonial Western powers without regard to native populations and their social, economic, or cultural landmarks, including sites of their ancient temples like Preah Vihear.

Cambodian police officers stand guard at an entrance of Preah Vihear Temple near the Cambodian-Thai border. (Photo/Heng Sinith)

“It is these colonial legacies that overshadow the present conflict,” Steinbock tells TRT World.

Preah Vihear is currently located in Cambodia, but Thailand claims the temple should be part of its territory.

Beyond Preah Vihear, several other areas are also disputed, according to Ambuel. In 1959, Cambodia brought the temple issue to the International Court of Justice, which ruled in Cambodia’s favour in 1962.

The political status of two other temples: Angkor Wat and Prasat Ta Moan Thom (which means “Great Temple of Grandfather Chicken”), also remains a source of fierce disagreement.

“Border tensions have persisted, especially after Cambodia applied for World Heritage status for Preah Vihear,” Ambuel tells TRT World.

Angkor Wat is located in Cambodia near the Thai border, while Prasat Ta Moan Thom is located in Thailand, close to the Cambodian border.

According to Steinbock, since the Biden administration, Washington has increasingly portrayed Asia, particularly Southeast Asia, in “Cold War-style win-lose terms,” beginning with the US military pivot to the region over a decade ago. He says that the term “Asia” itself has been replaced by “Indo-Pacific.”

“When economies struggle and geopolitics hovers over peaceful development, legacy conflicts thrive. This was the case during the Cold War, which some powers would like to triumph today as well,” says Steinbock, referring to possible US involvement and adding that both Thailand and Cambodia are among the top five nations affected by Trump’s tariffs.

In the process, many colonial legacy conflicts in Asia have been redefined as if they were a part of this new rivalry, including the Thailand-Cambodia border friction, as if it could be separated from its French colonial past, he adds.

While Southeast Asia and China are currently working towards stability through ASEAN-China Code of Conduct talks, Steinbock says external forces like the US are undermining the region’s efforts towards economic integration, favouring divisive geopolitics over cooperation."
7/30/2025 0:00,Politics,https://trt.global/world/article/2d4e23149d95,Thailand accuses Cambodia of second ceasefire violation in two days,"Thailand’s military accused Cambodian forces on Wednesday of breaching a ceasefire agreement at three separate locations along the disputed border, warning that continued aggression could compel Thai forces to respond more decisively.

The allegations come less than two days after both governments agreed to a ceasefire brokered in Malaysia, which came into effect at midnight on Monday, aimed to stop fighting in their deadliest conflict in more than a decade following five days of intense fighting.

It killed at least 43 people and displaced over 300,000 civilians on either side.

The truce came after a sustained push from Malaysian Premier Anwar Ibrahim and US President Donald Trump, with the latter warning Thai and Cambodian leaders that trade negotiations would not progress if fighting continued.

Thailand and Cambodia face a tariff of 36 percent on their goods in the US, their biggest export market, unless a reduction can be negotiated.

After the ceasefire deal was reached, Trump said he had spoken to both leaders and instructed his trade team to restart tariff talks.

On Wednesday, Thailand said Cambodian forces fired on positions in northeastern Thailand's Sisaket province on Cambodia's northern border.

""Cambodian forces used small arms and grenade launchers, prompting Thailand to respond in self-defence,"" Thai army spokesman Major-General Winthai Suvaree told reporters.

""This was the second incident since the agreement and reflects a behaviour that does not respect agreements, destroys de-escalation efforts and hampers trust between the two countries.""

Cambodia rejected the allegations, saying it was committed to the ceasefire and called for observers.

""Cambodia strongly rejects the ceasefire accusations as false, misleading and harmful to the fragile trust-building process,"" Cambodian Foreign Ministry spokesperson Chum Sounry told reporters at a press conference, adding the government supports a monitoring mechanism and independent observation.

The ceasefire, which also agreed to halt troop movement, paves the way for a high-level military meeting that includes defence ministers on August 4 in Cambodia.

There have been no reports of any exchange of heavy artillery fire but also no reports of troop withdrawals by either side."
7/30/2025 0:00,Politics,https://trt.global/world/article/a9b452d7b7cd,Canada weighing recognition of Palestine — Canadian media,"Canada is weighing whether to recognise Palestine and whether the recognition would be conditioned, according to Canadian media reports.

Reports cited an unnamed source on Tuesday as saying that no decision has been made yet, but Prime Minister Mark Carney is expected to hold a virtual cabinet meeting on Wednesday to discuss the situation in the Middle East.

The reports came shortly after Carney spoke with his British counterpart, Keir Starmer, about the situation in besieged Gaza and the UK's statement on the recognition of Palestine.

On Monday, Canada's Foreign Minister Anita Anand reaffirmed Ottawa's commitment to a two-state solution.

""Despite the complexity of the situation, our collective presence here today reflects strong international support for a negotiated solution, one that ensures Palestinian self-determination and Israeli security,"" Anand said.

Last week, French President Emmanuel Macron said Paris would recognise Palestine during the UN General Assembly in September.

This week, Starmer followed suit and said his government would also recognise Palestine at the UNGA if Israel fails to take steps to end its carnage in Gaza.

Israel slammed the move by the UK, saying it would be a ""reward for Hamas.""

Palestine is currently recognised by 149 of the UN’s 193 member states — a number that has grown since Israel launched its genocide in Gaza in October 2023."
7/29/2025 0:00,Politics,https://trt.global/world/article/01cf68001c0a,,"China on Monday rolled out an annual childcare subsidy of 3,600 yuan ($502) until age three, as authorities look to spur a flagging birth rate.

Authorities are concerned that fewer young people are choosing to have children, and the number of elderly people is increasing.

The high cost of childcare and education, as well as job uncertainty and a slowing economy, are among the concerns that have discouraged many young Chinese from getting married and starting a family.

Subsidies will start retroactively from the start of this year, with partial subsidies for those younger than three who were born prior to 2025, in a policy expected to benefit more than 20 million families of toddlers and infants, the official Xinhua news agency said.

The plan was an ""important national livelihood policy"", and direct cash subsidies would help ""reduce the cost of family childbirth and parenting,"" the National Health Commission said.

As of the end of 2024, China had 310 million people aged 60 and above. China’s total population is around 1.41 billion, based on Worldometer’s elaboration of the latest United Nations data.

China's population fell for a third consecutive year in 2024, with experts warning of a worsening downturn, after decades of falling birth rates following a one-child policy adopted from 1980 to 2015, coupled with rapid urbanisation.

In the past two years, provinces nationwide have started handing out childcare subsidies in amounts that vary considerably, from 1,000 yuan ($139) a child to up to 100,000 yuan ($13,931), including housing subsidies.

The central government will fund the new national policy instead of local authorities, Xinhua said.

Raising children in the country is among the costliest globally when measured against income levels, according to a Chinese study.

Authorities rolled out a series of ""fertility-friendly"" measures in 2024 to tackle the coming decade's expected challenge of the entry into retirement of roughly 300 million people, equivalent to almost the entire US population."
7/29/2025 0:00,Politics,https://trt.global/world/article/b0995e2850ed,,"The administration of United States President Donald Trump has issued a new memo allowing federal employees to openly promote their religious beliefs at work.

Released on July 28 by the Office of Personnel Management (OPM), the US government’s human resource agency, the memo outlines a broad set of protections aimed at reinforcing “religious freedom” across the federal workforce.

Agency employees may seek to ""persuade others of the correctness of their own religious views"" in the office, Scott Kupor, director of the OPM, wrote in a statement, cited by Reuters.

Supervisors can attempt to invite their employees to their religion, so long as the efforts aren’t “harassing in nature,” according to the statement. Agencies can't discipline their employees for declining to talk to their coworkers about their religious views.

“During a break, an employee may engage another in polite discussion of why his faith is correct and why the non-adherent should re-think his religious beliefs. However, if the nonadherent requests such attempts to stop, the employee should honour the request,” the memo added.

“An employee may invite another to worship at her church despite being belonging to a different faith.”

As per the five-page memo, federal employees are now permitted to: display religious symbols, such as Bibles, crosses, or prayer beads, at their workspaces, join or organise prayer groups during non-duty hours, discuss or share their faith with colleagues, including efforts to persuade and request religious accommodations, including telework or flexible hours, particularly for religious observances.

The memo emphasises that supervisors may also express religious beliefs, provided they do not coerce employees or imply official endorsement.

It builds on longstanding protections in US law, including the First Amendment and Title VII of the Civil Rights Act, which prohibits religious discrimination.

The memo represents the latest effort to expand the role of religion in the federal workplace.

“Federal employees should never have to choose between their faith and their career,” Kupor said in a press statement.

OPM in mid-July said agency workers can get permission to work from home or adjust their hours to accommodate religious prayers, after previously demanding that workers report to offices full-time.

Supporters say the policy strengthens freedom of religion in the public sector. Critics argue it could encourage proselytising and compromise the separation of religion and government in official workplaces.

This latest move is part of a broader effort by the Trump administration to elevate religious expression in public institutions, following the creation of a White House Faith Office and other initiatives focused on combating what it calls “anti-religious bias” in government.

A large part of evangelical Christians voted for Trump."
7/28/2025 0:00,Politics,https://trt.global/world/article/5bc24073797c,,"Hungarian Prime Minister Viktor Orban has taken a swipe at European Commission President Ursula von der Leyen, claiming that US President Donald Trump had outmanoeuvred her in recent EU-US trade discussions.

“Trump ate von der Leyen for breakfast,” Orban said on Monday, using sharp language to characterise what he described as a one-sided outcome in Washington’s favour.

The comment followed the announcement of a trade framework between the European Union and the United States, which Orban criticised as overly favourable to US interests.

He added that the outcome fell short compared to a similar deal Washington recently reached with the UK.

The agreement, announced on Sunday, will see the US impose a 15 percent import tariff on most EU goods, half of the threatened rate of 30 percent.

The bloc will also invest $600 billion in the US and purchase $750 billion in American energy and military equipment.

“It was not a deal that President Donald Trump made with Ursula von der Leyen. The US president is a heavyweight negotiator, and the Madame President is a featherweight.”

Orban said. “The American agreement with the UK is much better than this. The European agreement is worse than the English one. Therefore, it will be difficult to claim it as a success later on.”

Hungarian Foreign Minister Peter Szijjarto echoed Orban’s criticism, saying the developments underscored the need for new leadership in Brussels.

The Hungarian leader, who has long aligned himself with Trump and often clashes with EU leadership, made the remarks during a domestic political event, where he also reiterated his opposition to deeper EU integration and what he called the Commission’s “submissive diplomacy.”

Neither the European Commission nor the Trump administration has responded publicly to Orban’s remarks.

Von der Leyen has not commented directly on the trade talks or Orban’s criticisms, though her office previously defended the negotiations as part of efforts to strengthen transatlantic economic ties.

The EU and US have been working to stabilise their trade relationship after years of friction under the Trump administration, including disputes over tariffs and subsidies.

Orban’s comments suggest that Trump’s return to the global stage, even unofficially, is already reshaping European political rhetoric."
