Headline,URL,Publication Date,Author,Content
"Middle East latest: Gaza aid airdrops a 'smokescreen' and 'distraction', says UN agency chief",https://news.sky.com/story/middle-east-latest-israeli-military-launches-ground-assault-on-central-gaza-city-of-deir-al-balah-13398805,,Author not found,Content not found.
"25% of young children and pregnant women malnourished in Gaza, charity says, as PM vows to fly critical medical cases to UK",https://news.sky.com/story/25-of-young-children-and-pregnant-women-malnourished-in-gaza-charity-says-as-pm-vows-to-fly-critical-medical-cases-to-uk-13401950,,Author not found,"A charity has warned 25% of young children and pregnant women in Gaza are now malnourished, with Sir Keir Starmer vowing to evacuate children who need ""critical medical assistance"" to the UK.

MSF, also known as Doctors Without Borders, said Israel's ""deliberate use of starvation as a weapon"" has reached unprecedented levels - with patients and healthcare workers both fighting to survive.

It claimed that, at one of its clinics in Gaza City, rates of severe malnutrition in children under five have trebled over the past two weeks - and described the lack of food and water on the ground as ""unconscionable"".

The charity also criticised the high number of fatalities seen at aid distribution sites, with one British surgeon accusing IDF soldiers of shooting civilians""almost like a game of target practice"".

MSF's deputy medical coordinator in Gaza, Dr Mohammed Abu Mughaisib, said: ""Those who go to the Gaza Humanitarian Foundation's food distributions know that they have the same chance of receiving a sack of flour as they do of leaving with a bullet in their head.""

The UN also estimates that Israeli forces have killed more than 1,000 people seeking food - the majority near the militarised distribution sites of the US-backed aid distribution scheme run by the GHF.

Please use Chrome browser for a more accessible video player

In a statement on Friday, the IDF had said it ""categorically rejects the claims of intentional harm to civilians"", andreports of incidents at aid distribution siteswere ""under examination"".

The GHFhas also previously disputedthat these deaths were connected with its organisation's operations, with director Johnnie Moore telling Sky News: ""We just want to feed Gazans. That's the only thing that we want to do.""

Israel says it has let enough food into Gaza and has accused the UN of failing to distribute it, in what the foreign ministry has labelled as ""a deliberate ploy"" to defame the country.

'Humanitarian catastrophe must end'

In a video message posted on X late last night, Sir Keir Starmer condemned the scenes in Gaza as ""appalling"" and ""unrelenting"" - and said ""the images of starvation and desperation are utterly horrifying"".

The prime minister added: ""The denial of aid to children and babies is completely unjustifiable, just as the continued captivity of hostages is completely unjustifiable.

""Hundreds of civilians have been killed while seeking aid - children, killed, whilst collecting water. It is a humanitarian catastrophe, and it must end.""

Please use Chrome browser for a more accessible video player

Sir Keir confirmed that the British government is now ""accelerating efforts"" to evacuate children from Gaza who need critical medical assistance, so they can be brought to the UK for specialist treatment.

Israel has now said that foreign countrieswill be able to airdrop aid into Gaza. While the PM says the UK will now ""do everything we can"" to get supplies in via this route, he said this decision has come ""far too late"".

Read more:WHO: Gaza faces 'manmade' starvationUN: People in Gaza 'walking corpses'

Listen to The World with Richard Engel and Yalda Hakim every Wednesday

Last year,the RAF dropped aid into Gaza, but humanitarian organisations warned it wasn't enough and was potentially dangerous. In March 2024, five people were killed when an aid parachute failed and supplies fell on them.

For now, Sir Keir has rejected calls to follow French PresidentEmmanuel Macronandrecognise a Palestinian state-despite more than 220 MPssigning a cross-party letter to demand he takes this step.

The prime minister is instead demanding a ceasefire and ""lasting peace"" - and says he will only consider an independent state as part of a negotiated peace deal."
Huge security operation as Donald Trump tees off at his Scottish golf course,https://news.sky.com/story/huge-security-operation-as-donald-trump-tees-off-at-his-scottish-golf-course-13402055,,Scotland correspondent,"Donald Trump has been spotted on his golf course in Scotland, with a massive security operation keeping both media and locals at a distance.

Roads were closed around the Turnberry course as a large number of police and army, and navy personnel were seen searching the grounds before theUS presidentteed off on Saturday, the first full day of his UK visit.

Sniffer dogs patrolled the course, snipers were deployed, a police helicopter hovered overhead and a boat sat off the coast.

His first round of golf came hours after an attack on Europe, in which the US president told Europe to""get your act together"" on immigration, which he said was ""killing"" the continent.

But he had words of praise forSir Keir Starmerafter touching down in Ayrshire on Friday, describing him as a ""good man"" while adding he is ""slightly more liberal than I am"".

Mr Trump is due to have talks with Sir Keir and Scottish First Minister John Swinney, as well as discussing trade with European Commission President Ursula von der Leyen.

The president headed straight to the resort, which he bought in 2014 and which he wants to see host The Open, after landing.

Scotland correspondent

We heard him before we saw him.

It was the surreal moment Donald Trump trundled over the Turnberry course with music blaring from his golf buggy.

The songs of choice were even more interesting given the crisis facing the US president amid the Jeffrey Epstein saga.

Bridge Over Troubled Water by Simon and Garfunkel was the hit swirling around as the wind projected the music beyond a wall of police that had formed to protect the president.

It was an eyebrow-raising moment to say the least.

Mr Trump waved at the Sky News camera as I shouted a question about Scottish hospitality. It was a different story when I pivoted the topic to Epstein. He hit a shot and sped off.

The 20-strong entourage of buggies followed him as he carried on his journey.

Some may wonder why all the fuss over a man playing golf? But this is the president, and the kitchen sink has been thrown at the policing operation.

Moments before we spotted Mr Trump, army and navy personnel were seen sweeping the grassy banks. Sniffer dogs patrolled the course while snipers watched over in a bid to fend off any intruders.

The circus involved the police helicopter hovering overhead and the marine unit bobbing about off the choppy Ayrshire coast.

Saturday is for play, and on Sunday it's politics. But, as ever, the Trump show is unpredictable.

Saturday will be the first real test of PoliceScotlandduring the visit as it looks to control the demonstrations in Aberdeen and Edinburgh, as well as any that spring up near the president's course.

The force has asked forsupport from others around the UKto bolster officer numbers, with both organisations representing senior officers and the rank-and-file claiming there is likely to be an impact on policing across the country for the duration of the visit.

Before the visit started, Mr Swinney appealed to Scots to protest ""peacefully and within the law"".

Hundreds of protesters had gathered in both cities by early afternoon, with demonstrators in the centre of Aberdeen seen waving banners with anti-Trump slogans, while one came dressed as the president with a large papier mache head.

Some members of the crowd also showed their support for Gaza, waving Palestinian flags.

On the golf course, the US president was followed by more than a dozen other buggies.

Mr Trump is expected to open a second course at another of his golf resorts in Balmedie in Aberdeenshire while he is in the country."
Unlicensed Botox-like injections spark outbreak of disease many doctors have never treated,https://news.sky.com/story/its-the-wild-west-dozens-of-women-develop-botulism-linked-to-anti-wrinkle-injections-13401548,,Katie Barnfield,"A woman who thought she was being injected with Botox was left unable to swallow and doctors thought she had suffered a stroke - after she contracted a life-threatening illness from a potentially illegal product.

Nicola Fairley is one of dozens of people who have developed botulism linked to unlicensed anti-wrinkle injections.

She had the procedure done with her regular beautician after winning a Facebook competition for three areas of ""Botox"".

""Within two or three hours my forehead and the sides of my eyes had started to freeze,"" Nicola says.

""At first I thought 'amazing', that's what I wanted - then it just carried on.""

Nicola was eventually sent to A&E in Durham, where she met several other patients who all had similar symptoms.

Doctors were stumped. ""They thought I'd had a stroke,"" she says.

More from UK

Age verification tools on adult websites bypassed in secondsMoney blog: 'He made me eat cheaper brands than him and said I'd die in a car crash - but this is why I couldn't leave'Gregg Wallace speaks out after MasterChef sacking

Age verification tools on adult websites bypassed in seconds

Money blog: 'He made me eat cheaper brands than him and said I'd die in a car crash - but this is why I couldn't leave'

Gregg Wallace speaks out after MasterChef sacking

""We all had problems with our eyes, some of us with our breathing. I couldn't swallow - they put me on nil by mouth because they were worried I would choke in the waiting room.""

It turns out all of the patients had recently had anti-wrinkle injections containing botulinum toxin.

Health officials believe they were imported, illegal products.

Botulism - the disease they caused - is so rare many doctors never see it in their entire careers.

It can cause symptoms including slurred speech and breathing problems, and can be deadly.

The disease is so unusual, and so many cases were coming in, that doctors exhausted their stocks of anti-toxin and had to ask hospitals as far away as London to get more.

The UK Health Security Agency has so far confirmed 38 cases of botulism linked to cosmetic toxin injections, but Sky News has been told of several more.

The outbreak began in the North East but cases have now been seen in the East of England and East Midlands as well.

There are only a handful of legal botulinum toxin products in the UK - of which Botox is one.

But cosmetic treatments are largely unregulated, with anyone allowed to inject products like fillers and toxins without any medical training.

Cheap, illegal products imported from overseas are easily available.

'It's the Wild West'

Dr Steven Land runs Novellus Aesthetics clinic in Newcastle upon Tyne. He worked for decades as an emergency medicine doctor before moving into aesthetics.

He says he has been warning health officials of an outbreak for years.

""It's the Wild West,"" Dr Land told Sky News.

""Because anyone can do this, there is a lack of knowledge around what is legal, what's not legal, what is okay to be injected.

""These illegal toxins could have 50 units, 5,000 units or rat poison - there could be anything in there.""

Read more from Sky News:Kelly Osbourne pays tribute to 'best friend' OzzyScots divided as Trump flies in for visit

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

Dr Land showed us messages that he says he gets on a weekly basis, from sellers trying to push him cheap, unlicensed products.

They advertise ""limited time offers"" and cheap bundles on toxins imported from overseas. He calls them ""drug dealers"".

""They are preying on the lack of knowledge among non-medical practitioners,"" he says.

Consultations on how to regulate the aesthetics industry have been ongoing for years - but so far, no changes have been introduced.

Follow our channel and never miss an update

The UK government now says it does plan to regulate certain procedures, but it's not said how it will do this, or when.

""What will it take?"" Nicola says. ""One of the women we were with did almost die - she had to be resuscitated.""

Nicola's beautician has stopped responding to her messages, so she says she still has no idea what the product was ""or how much of it is in me"".

She doesn't know how long her symptoms will last, but just hopes she will eventually recover."
Money blog: 'He made me eat cheaper brands than him and said I'd die in a car crash - but this is why I couldn't leave',https://news.sky.com/story/money-latest-consumer-personal-finance-blog-sky-news-13040934,,iStock,Content not found.
Age verification tools on adult websites bypassed in seconds,https://news.sky.com/story/hackers-prove-age-verification-systems-on-pornography-sites-can-be-bypassed-in-seconds-13401733,,"By Mickey Carroll, science and technology reporter and Francesca Casonato, video journalist","Ethical hackers have shown Sky News how new age verification systems can be bypassed on pornographic websites in a matter of seconds.

On Friday, toughened rules came into force that mean companies hosting adult content online must block under-18s using ""highly effective age verification"".

That could include AI tools that use pictures to estimate someone's age, bank or ID checks, or more technical solutions using browser cookies.

But hours later, two ethical hackers demonstrated just how simple it is to get around the measures designed to protect young people on the internet.

Using widely available technology, Chris Kubecka and Paula Popovici quickly accessed numerous pornography sites without ever verifying their ages.

Their devices were running standard software, and the tricks they used were simple.

This, Ms Kubecka said, showed the systems will not be effective at stopping under-18s from accessing explicit content online.

More on Internet Safety

What is Tea - the women-only app with millions of users?New internet rules enforced from today - but this grieving mother is sceptical they will workNew internet rules come into force - here's what is changing

What is Tea - the women-only app with millions of users?

New internet rules enforced from today - but this grieving mother is sceptical they will work

New internet rules come into force - here's what is changing

Related Topics:

Internet safetyOFCOM

The simplicity of their method was confirmed by multiple viewers, who contacted Sky News to say they had also managed to bypass the systems.

One viewer said it had taken him ""less than 30 seconds"".

Read more:Grieving mother is sceptical new rules will workOfcom rules: Here's what is changing

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

Although Sky News has verified the methods used by Ms Kubecka and Ms Popovici, we won't give details or name any software used.

Some of the explicit websites they checked had not turned on any age verification, despite declaring in June that they would.

In response to our findings, Ofcom said these checks ""will help stop young children from stumbling across porn"".

The regulator added: ""While the new rules have only been in place for a matter of hours, we will be actively assessing compliance to make sure platforms have age checks in place and that they are highly effective.

""Companies that fall short can expect to face enforcement action.""

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

A spokesperson for the Department for Science, Innovation and Technology told Sky News: ""We expect these laws to be robustly implemented by tech companies. If they fail to do so, the regulator is ready to take severe enforcement action, including tough fines.""

There is also a risk that age verification could push users towards more dangerous corners of the internet in search of pornography.

By 10am on Friday, data suggested an extra 66,000 internet users in the UK had begun using the dark web.

Ms Kubecka fears this number may only increase.

""That is one of the concerns that I have because I don't want illegal or extreme content being normalised in our teens,"" she said.

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

Google Trends data shows searches for online tools to help people bypass age verification have surged, too.

Ofcom told Sky News it had been clear that sites ""must not encourage or direct users to get around age checks"".

""People should be aware that children and adults who use [certain software] to bypass age checks will not benefit from the wider protections offered by our online safety rules.""

Follow our channel and never miss an update

Despite those warnings, in the days running up to the rules being enforced, advertising data shows companies were targeting UK users and promoting tools that could bypass the verification.

""Platforms have clear legal obligations and must actively prevent children from circumventing safety measures, including blocking content that promotes ... workarounds targeting young users."""
Plane plunges 300ft in 36 seconds to avoid another aircraft,https://news.sky.com/story/plane-plunges-300ft-in-36-seconds-to-avoid-other-aircraft-13401958,,Author not found,"A US passenger plane made a dramatic plunge minutes after take-off to dodge another aircraft - injuring two cabin crew and causing passengers to shoot out of their seats.

The Southwest flight had just taken off from Burbank in California when the pilot received an alert about a nearby plane.

Data from FlightAware shows the aircraft dropped by 91m (300ft) in just 36 seconds. Those on board said they felt panicked, and some feared the plane was about to crash.

Comedian Jimmy Dore posted on X: ""Pilot had to dive aggressively to avoid mid-air collision … myself and plenty of people flew out of their seats and bumped heads on ceiling, a flight attendant needed medical attention.""

Stef Zambrano saw a woman who wasn't wearing her seatbelt thrown out of her seat, who then said: ""I want to get off this plane. I want to be on the ground.""

Another passenger, Steve Ulasewicz, told NBC Los Angeles that it felt like the plane was in freefall for 10 seconds.

""People were screaming. You know, it was pandemonium. People thought the plane was going down,"" he added.

More from US

Snipers, Secret Service sweeps and a personal chef on standby: Scotland awaits Trump's arrivalGhislaine Maxwell answered justice department questions 'about 100 different people', her lawyer saysCompany at heart of Coldplay viral video releases tongue-in-cheek clip - with a big twist

Snipers, Secret Service sweeps and a personal chef on standby: Scotland awaits Trump's arrival

Ghislaine Maxwell answered justice department questions 'about 100 different people', her lawyer says

Company at heart of Coldplay viral video releases tongue-in-cheek clip - with a big twist

The aircraft was able to continue to its destination of Las Vegas, where it safely landed without any further incident.

It is believed the Boeing 737 was in the same vicinity as a Hawker Hunter Mk. 58, a British fighter jet.

Southwest is now working with the Federal Aviation Administration ""to further understand the circumstances"" of the event.

Read more US news:Trump issues warning as he arrives in ScotlandUS justice department interviews Ghislaine Maxwell

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selected

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is the second time in a week that a passenger plane has had to make abrupt flight manoeuvres to avoid a potential mid-air collision.

Concerns have been raised about aviation safety in the US following a series of recent incidents.

In January, a mid-air collision in Washington DC killed 67 people."
Dozens killed and tens of thousands flee as border fighting between Thailand and Cambodia escalates,https://news.sky.com/story/dozens-killed-and-tens-of-thousands-flee-as-border-fighting-between-thailand-and-cambodia-escalates-13402002,,Author not found,"At least 33 people have been killed and more than 168,000 forced to flee their homes as deadly clashes along the Thailand-Cambodia border enter a third day.

On Saturday, Cambodian authorities reported 12 new deaths, bringing its toll to 13, while Thai officials said a soldier was killed, raising the number of deaths to 20 - mostly civilians.

New flashpoints emerged on Saturday more than 100 km (60 miles) from other conflict points along the long-contested border.

There were clashes in the early morning in the neighbouring Thai coastal province of Trat and Cambodia's Pursat Province, both sides said.

International pressure is mounting on both sides to declare a ceasefire.

At an emergency meeting in New York late on Friday, the UN Security Council unanimously called on both sides to show restraint and resolve the dispute peacefully, a council diplomat speaking on condition of anonymity said.

Malaysia, which chairs the 10-nation Association of Southeast Asian Nations (ASEAN), which includes both parties, called for an end to hostilities and offered to mediate.

Read more:Why have tensions escalated?Clashes before, but this time feels different - analysis

Cambodia's defence ministry said Thailand had launched ""a deliberate, unprovoked, and unlawful military attack"" but Thailand's acting prime minister, Phumtham Wechayachai, said Bangkok had exercised the ""utmost restraint and patience in the face of [Phnom Penh's] provocations and aggression"".

Cambodia's Information Minister Neth Pheaktra said on Saturday the clashes had forced 10,865 Cambodian families - 37,635 people - in three border provinces to evacuate, while Thai officials said more than 131,000 people had fled their border villages.

Villages around Cambodia's Oddar Meanchey province were largely deserted, as people loaded their belongings on homemade tractors or sheltered in makeshift underground bunkers, covering them with wood, tarpaulin and zinc sheets to shield themselves from shelling.

Several hundred residents went to a remote Buddhist temple where plastic tents were set up under the trees.

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

There have been frequent flare-ups along the 500 mile (800 km) frontier the two nations share, and 20 people died in the last serious clashes in 2011.

Tensions rose again in May when a Cambodian soldier was killed in a skirmish and escalated further when a land mine wounded five Thai soldiers on Wednesday.

The situation grew into a full-blown diplomatic crisis as Bangkok closed the border and expelled the Cambodian ambassador.

Listen to The World with Richard Engel and Yalda Hakim every Wednesday

Both sides reinforced their troops on the border and clashes broke out the following day.

On Friday, the Thai military reported clashes in multiple areas along the border, including near the ancient Ta Muen Thom temple claimed by both sides."
Company at heart of Coldplay viral video releases tongue-in-cheek clip - with a big twist,https://news.sky.com/story/company-at-heart-of-coldplay-viral-video-releases-tongue-in-cheek-clip-with-a-big-twist-13401966,,,"The company at the centre of a viral video at a Coldplay concert has released a tongue-in-cheek clip on social media - featuring Gwyneth Paltrow as a ""temporary spokesperson"".

Astronomer wasthrust into the spotlightafter two of the tech firm's senior executives were filmed embracing on a kiss cam during a gig in Boston.

Andy Byronsubsequently resignedas chief executive officer - while the woman in the video, Kristin Cabot,stepped down as chief people officer a few days later.

Please use Chrome browser for a more accessible video player

Chapters

descriptions off, selected

Captions settings, opens captions settings dialogCaptions off, selectedEnglish

en (Main), selected

This is a modal window.

Beginning of dialog window. Escape will cancel and close the window.

End of dialog window.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

This is a modal window. This modal can be closed by pressing the Escape key or activating the close button.

Paltrow, who used to be married to Coldplay frontman Chris Martin, is seen sitting at a desk in the new video uploaded to X - and begins by thanking the public for their interest in Astronomer.

She adds: ""I've been hired on a very temporary basis to speak on behalf of the 300-plus employees at Astronomer.

""Astronomer has gotten a lot of questions over the last few days - and they wanted me to answer the most common ones.""

A question is then typed out on the screen that reads: ""OMG, what the actual…""

More from Ents & Arts

Gregg Wallace speaks out after MasterChef sackingTop Boy actor Micheal Ward charged with two counts of rapeGrammy-winning jazz singer Dame Cleo Laine dies

Gregg Wallace speaks out after MasterChef sacking

Top Boy actor Micheal Ward charged with two counts of rape

Grammy-winning jazz singer Dame Cleo Laine dies

Before the final word appears, the video cuts back to Paltrow, who goes on to promote some of the services Astronomer offers.

In a subtle nod to the countless column inches the company has attracted, Paltrow adds: ""We've been thrilled so many people have a newfound interest in data workflow automation.""

Another question then pops up on screen, which begins to type out: ""How is your social media team holding up?""

But before the sentence fully appears, Paltrow abruptly interrupts by declaring that Astronomer has spaces at an upcoming conference in September.

""We'll now be returning to what we do best: delivering game-changing results for our customers,"" she adds at the end of the video.

The marketing stunt is a sign that Astronomer is trying to put a positive spin on the scandal, which sparked feverish speculation online.

After Mr Byron resigned, the company had said in a statement: ""Astronomer is committed to the values and culture that have guided us since our founding.

""Our leaders are expected to set the standard in both conduct and accountability, and recently, that standard was not met.""

Pete DeJoy, who has taken over as interim CEO, admitted on Monday that the company has faced an ""unusual and surreal"" amount of attention in recent days.

On LinkedIn, he wrote: ""While I would never have wished for it to happen like this, Astronomer is now a household name."""
Ten Greenpeace activists arrested after suspending themselves from bridge outside Edinburgh,https://news.sky.com/story/ten-greenpeace-activists-arrested-after-suspending-themselves-from-bridge-outside-edinburgh-13402046,,Author not found,"Ten Greenpeace activists have been arrested after suspending themselves from a bridge over a river to halt a tanker carrying fracked gas.

The Forth Road Bridge outside Edinburgh was closed on Friday due to the demonstration, with Police Scotland alerted shortly after 1pm.

The protesters ended up dangling around 25m above the water level at high tide.

Greenpeace announced it had ended the demonstration on Saturday morning, saying it had ""achieved what we set out to do"".

The group said its activists had prevented the Ineos tanker from delivering the gas for a full 24 hours, because the vessel could only travel to the Ineos petrochemical plant at nearby Grangemouth during high tides.

Its specially trained activists began climbing down their ropes on Saturday morning.

Greenpeace said all 10 descended safely and were voluntarily transported to Port Edgar in South Queensferry, where it said they were arrested by officers from Police Scotland on suspicion of culpable and reckless conduct.

Police Scotland confirmed five men aged between 35 and 40, as well as five women aged between 25 and 42, had been arrested.

It said further inquiries were ongoing and the Forth Road Bridge remained closed to traffic as of Saturday morning.

Read more:25% of young children now malnourished in Gaza, charity saysTrump issues warning to leaders as he arrives in Scotland

Be the first to getBreaking News

Install the Sky News app for free

Amy Cameron, programme director at Greenpeace UK, said: ""By blocking Ineos, we've drawn global attention to the company's bottomless appetite for plastic production, false solutions and profit for its billionaire boss Jim Ratcliffe.""

Describing the ""plastic pollution problem"" as ""massive"", she added: ""Less than 10% of plastic is currently recycled globally, and this is set to rise to just 17% by 2060, while the amount of plastic we're producing is set to triple.

""The only solution is to address the problem at source which means securing a strong global plastics treaty that imposes legally-binding caps on plastic production.""

Follow our channel and never miss an update.

Greenpeace insists its protest was safe and caused ""minimal disruption"".

It stressed the climbers had spent weeks training for the demonstration and pointed out the Forth Road Bridge carries low volumes of bus, cycle and pedestrian traffic."
